City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Lincoln,Nebraska,Moved in 2000 to 2004,17959,1867,17.2,1.8
Long Beach,California,Moved in 2000 to 2004,29031,2708,18.3,1.7
Los Angeles,California,Moved in 2000 to 2004,238385,7692,18.2,0.6
Memphis,Tennessee,Moved in 2000 to 2004,34582,2333,14.3,1
Mesa,Arizona,Moved in 2000 to 2004,32500,2716,20,1.6
Miami,Florida,Moved in 2000 to 2004,22596,2401,15.5,1.6
Milwaukee,Wisconsin,Moved in 2000 to 2004,36007,2351,15.7,1
Minneapolis,Minnesota,Moved in 2000 to 2004,24402,2124,14.7,1.3
New Orleans,Louisiana,Moved in 2000 to 2004,15703,1900,11.1,1.3
New York,New York,Moved in 2000 to 2004,517429,11368,17,0.4
Newark,New Jersey,Moved in 2000 to 2004,15991,1843,17.5,2
Oakland,California,Moved in 2000 to 2004,25948,2700,17.1,1.7
Omaha,Nebraska,Moved in 2000 to 2004,25686,2440,15.7,1.5
Orlando,Florida,Moved in 2000 to 2004,12571,1759,13,1.7
Philadelphia,Pennsylvania,Moved in 2000 to 2004,88270,4755,15.3,0.8
Phoenix,Arizona,Moved in 2000 to 2004,85088,3738,16.6,0.7
Pittsburgh,Pennsylvania,Moved in 2000 to 2004,17897,1921,13.8,1.4
Plano,Texas,Moved in 2000 to 2004,17269,1879,17.7,1.9
Portland,Oregon,Moved in 2000 to 2004,40897,3064,16.7,1.3
Riverside,California,Moved in 2000 to 2004,17056,2145,19.4,2.4
Sacramento,California,Moved in 2000 to 2004,26860,2494,15.2,1.3
San Antonio,Texas,Moved in 2000 to 2004,67633,4524,14.4,1
San Diego,California,Moved in 2000 to 2004,70737,3862,15.1,0.8
San Francisco,California,Moved in 2000 to 2004,49351,3359,14.7,1
San Jose,California,Moved in 2000 to 2004,51331,3511,17.2,1.1
Santa Ana,California,Moved in 2000 to 2004,12765,1538,17.9,2.1
Seattle,Washington,Moved in 2000 to 2004,42977,2969,15.5,1.1
St. Paul,Minnesota,Moved in 2000 to 2004,13565,1598,12.3,1.4
Stockton,California,Moved in 2000 to 2004,17184,1941,18.8,2.1
Tampa,Florida,Moved in 2000 to 2004,21967,2578,16.5,1.9
Tucson,Arizona,Moved in 2000 to 2004,31327,2899,15.5,1.4
Tulsa,Oklahoma,Moved in 2000 to 2004,22415,2105,13.7,1.3
Virginia Beach,Virginia,Moved in 2000 to 2004,30674,2613,18.7,1.6
Washington,District of Columbia,Moved in 2000 to 2004,37265,2687,14.8,1.1
Wichita,Kansas,Moved in 2000 to 2004,23599,1898,15.8,1.2
Albuquerque,New Mexico,Moved in 1990 to 1999,34510,3278,15.4,1.5
Anaheim,California,Moved in 1990 to 1999,17966,2116,17.9,2
Anchorage,Alaska,Moved in 1990 to 1999,17656,1773,16.8,1.7
Arlington,Texas,Moved in 1990 to 1999,21225,1973,15.9,1.4
Atlanta,Georgia,Moved in 1990 to 1999,16558,1770,9.6,1
Aurora,Colorado,Moved in 1990 to 1999,18233,1943,15.3,1.5
Austin,Texas,Moved in 1990 to 1999,37108,2647,11.5,0.8
Bakersfield,California,Moved in 1990 to 1999,16459,1973,15,1.8
Baltimore,Maryland,Moved in 1990 to 1999,36085,2670,15.2,1.1
Boston,Massachusetts,Moved in 1990 to 1999,34545,2966,13.7,1.2
Chicago,Illinois,Moved in 1990 to 1999,153102,6341,15.1,0.6
Cincinnati,Ohio,Moved in 1990 to 1999,17807,2021,14.1,1.6
Cleveland,Ohio,Moved in 1990 to 1999,24281,2069,14.7,1.2
Colorado Springs,Colorado,Moved in 1990 to 1999,25017,2045,14.9,1.2
Columbus,Ohio,Moved in 1990 to 1999,41659,2358,13,0.7
Corpus Christi,Texas,Moved in 1990 to 1999,17177,2064,15.5,1.8
Dallas,Texas,Moved in 1990 to 1999,56878,3561,12.7,0.8
Denver,Colorado,Moved in 1990 to 1999,34274,2161,13.1,0.8
Detroit,Michigan,Moved in 1990 to 1999,39114,2764,15.3,1
El Paso,Texas,Moved in 1990 to 1999,35267,2873,16.7,1.4
Fresno,California,Moved in 1990 to 1999,23152,2501,15.1,1.6
Greensboro,North Carolina,Moved in 1990 to 1999,14834,1564,13.6,1.5
Henderson,Nevada,Moved in 1990 to 1999,16826,1940,17,1.8
Houston,Texas,Moved in 1990 to 1999,97555,4259,12.8,0.5
Indianapolis,Indiana,Moved in 1990 to 1999,48220,3071,14.9,0.9
Irvine,California,Moved in 1990 to 1999,9796,1424,12.9,1.8
Jacksonville,Florida,Moved in 1990 to 1999,51828,3021,16.8,1
Jersey City,New Jersey,Moved in 1990 to 1999,12297,1772,13.3,1.8
Las Vegas,Nevada,Moved in 1990 to 1999,36598,2520,17.3,1.2
Lincoln,Nebraska,Moved in 1990 to 1999,16737,1648,16,1.5
Long Beach,California,Moved in 1990 to 1999,24567,2176,15.5,1.4
Los Angeles,California,Moved in 1990 to 1999,236848,5949,18.1,0.4
Memphis,Tennessee,Moved in 1990 to 1999,37806,2672,15.7,1.1
Mesa,Arizona,Moved in 1990 to 1999,30846,2730,19,1.6
Miami,Florida,Moved in 1990 to 1999,17998,2266,12.3,1.5
Milwaukee,Wisconsin,Moved in 1990 to 1999,35654,2611,15.6,1.1
Minneapolis,Minnesota,Moved in 1990 to 1999,26241,2436,15.8,1.4
New Orleans,Louisiana,Moved in 1990 to 1999,20741,1831,14.6,1.3
New York,New York,Moved in 1990 to 1999,593598,10310,19.5,0.3
Newark,New Jersey,Moved in 1990 to 1999,12166,1990,13.3,2.1
Oakland,California,Moved in 1990 to 1999,23564,2332,15.5,1.5
Omaha,Nebraska,Moved in 1990 to 1999,26486,2122,16.2,1.3
Orlando,Florida,Moved in 1990 to 1999,8584,1592,8.9,1.6
Philadelphia,Pennsylvania,Moved in 1990 to 1999,90818,4842,15.8,0.8
Phoenix,Arizona,Moved in 1990 to 1999,80437,4148,15.7,0.8
Pittsburgh,Pennsylvania,Moved in 1990 to 1999,18302,2333,14.1,1.8
Plano,Texas,Moved in 1990 to 1999,21180,2009,21.7,2.1
Portland,Oregon,Moved in 1990 to 1999,35566,2632,14.6,1
Riverside,California,Moved in 1990 to 1999,14935,2145,17,2.2
Sacramento,California,Moved in 1990 to 1999,25007,1981,14.2,1.1
San Antonio,Texas,Moved in 1990 to 1999,67585,3539,14.4,0.7
San Diego,California,Moved in 1990 to 1999,69972,3659,14.9,0.7
San Francisco,California,Moved in 1990 to 1999,56449,3531,16.8,1
San Jose,California,Moved in 1990 to 1999,53241,3319,17.9,1.1
Santa Ana,California,Moved in 1990 to 1999,12589,1254,17.7,1.8
Seattle,Washington,Moved in 1990 to 1999,38258,2657,13.8,0.9
St. Paul,Minnesota,Moved in 1990 to 1999,17374,1733,15.8,1.6
Stockton,California,Moved in 1990 to 1999,15062,1949,16.5,2.1
Tampa,Florida,Moved in 1990 to 1999,18133,2048,13.6,1.5
Tucson,Arizona,Moved in 1990 to 1999,32051,2754,15.9,1.4
Tulsa,Oklahoma,Moved in 1990 to 1999,22617,2188,13.9,1.3
Virginia Beach,Virginia,Moved in 1990 to 1999,27370,2239,16.7,1.4
Washington,District of Columbia,Moved in 1990 to 1999,35903,2418,14.2,1
Wichita,Kansas,Moved in 1990 to 1999,25306,2163,16.9,1.4
Albuquerque,New Mexico,Moved in 1980 to 1989,13470,1417,6,0.6
Anaheim,California,Moved in 1980 to 1989,7396,1245,7.4,1.2
Anchorage,Alaska,Moved in 1980 to 1989,8113,1287,7.7,1.2
Arlington,Texas,Moved in 1980 to 1989,7126,1125,5.3,0.8
Atlanta,Georgia,Moved in 1980 to 1989,8371,1255,4.9,0.7
Aurora,Colorado,Moved in 1980 to 1989,7661,1301,6.4,1.1
Austin,Texas,Moved in 1980 to 1989,16138,1895,5,0.6
Bakersfield,California,Moved in 1980 to 1989,7172,1295,6.6,1.1
Baltimore,Maryland,Moved in 1980 to 1989,18973,2079,8,0.9
Boston,Massachusetts,Moved in 1980 to 1989,14333,1504,5.7,0.6
Chicago,Illinois,Moved in 1980 to 1989,74324,3820,7.3,0.4
Cincinnati,Ohio,Moved in 1980 to 1989,8402,1421,6.7,1.1
Cleveland,Ohio,Moved in 1980 to 1989,13321,1801,8.1,1
Colorado Springs,Colorado,Moved in 1980 to 1989,10277,1501,6.1,0.9
Columbus,Ohio,Moved in 1980 to 1989,16783,1565,5.3,0.5
Corpus Christi,Texas,Moved in 1980 to 1989,7692,1305,6.9,1.2
Dallas,Texas,Moved in 1980 to 1989,22844,2178,5.1,0.5
Denver,Colorado,Moved in 1980 to 1989,14808,1585,5.6,0.6
Detroit,Michigan,Moved in 1980 to 1989,25599,2436,10,1
El Paso,Texas,Moved in 1980 to 1989,19165,1782,9.1,0.8
Fresno,California,Moved in 1980 to 1989,9687,1419,6.3,0.9
Greensboro,North Carolina,Moved in 1980 to 1989,6386,990,5.8,0.9
Henderson,Nevada,Moved in 1980 to 1989,2752,883,2.8,0.9
Houston,Texas,Moved in 1980 to 1989,46786,3515,6.1,0.4
Indianapolis,Indiana,Moved in 1980 to 1989,22612,1776,7,0.5
Irvine,California,Moved in 1980 to 1989,4664,890,6.1,1.2
Jacksonville,Florida,Moved in 1980 to 1989,21705,2627,7,0.8
Jersey City,New Jersey,Moved in 1980 to 1989,7896,1482,8.5,1.5
Las Vegas,Nevada,Moved in 1980 to 1989,6387,1142,3,0.5
Lincoln,Nebraska,Moved in 1980 to 1989,5474,1063,5.2,1
Long Beach,California,Moved in 1980 to 1989,9266,1314,5.9,0.8
Los Angeles,California,Moved in 1980 to 1989,98391,4167,7.5,0.3
Memphis,Tennessee,Moved in 1980 to 1989,18022,1989,7.5,0.8
Mesa,Arizona,Moved in 1980 to 1989,9923,1428,6.1,0.8
Miami,Florida,Moved in 1980 to 1989,8120,1503,5.6,1
Milwaukee,Wisconsin,Moved in 1980 to 1989,13623,1409,6,0.6
Minneapolis,Minnesota,Moved in 1980 to 1989,10243,1092,6.2,0.6
New Orleans,Louisiana,Moved in 1980 to 1989,9516,1311,6.7,0.9
New York,New York,Moved in 1980 to 1989,285245,7539,9.4,0.2
Newark,New Jersey,Moved in 1980 to 1989,5689,1086,6.2,1.2
Oakland,California,Moved in 1980 to 1989,10916,1473,7.2,0.9
Omaha,Nebraska,Moved in 1980 to 1989,14422,1456,8.8,0.9
Orlando,Florida,Moved in 1980 to 1989,3382,969,3.5,1
Philadelphia,Pennsylvania,Moved in 1980 to 1989,50188,2944,8.7,0.5
Phoenix,Arizona,Moved in 1980 to 1989,27089,2240,5.3,0.4
Pittsburgh,Pennsylvania,Moved in 1980 to 1989,10545,1470,8.1,1.1
Plano,Texas,Moved in 1980 to 1989,6800,1329,7,1.4
Portland,Oregon,Moved in 1980 to 1989,13100,1363,5.4,0.6
Riverside,California,Moved in 1980 to 1989,6465,1435,7.4,1.6
Sacramento,California,Moved in 1980 to 1989,11746,1651,6.7,0.9
San Antonio,Texas,Moved in 1980 to 1989,35406,2847,7.5,0.6
San Diego,California,Moved in 1980 to 1989,32372,2501,6.9,0.5
San Francisco,California,Moved in 1980 to 1989,30692,2294,9.1,0.7
San Jose,California,Moved in 1980 to 1989,26422,2372,8.9,0.8
Santa Ana,California,Moved in 1980 to 1989,7296,1389,10.2,1.9
Seattle,Washington,Moved in 1980 to 1989,18269,1907,6.6,0.7
St. Paul,Minnesota,Moved in 1980 to 1989,9554,1341,8.7,1.2
Stockton,California,Moved in 1980 to 1989,3786,752,4.2,0.8
Tampa,Florida,Moved in 1980 to 1989,7029,1129,5.3,0.8
Tucson,Arizona,Moved in 1980 to 1989,12646,1654,6.3,0.8
Tulsa,Oklahoma,Moved in 1980 to 1989,11940,1522,7.3,1
Virginia Beach,Virginia,Moved in 1980 to 1989,14490,1430,8.8,0.9
Washington,District of Columbia,Moved in 1980 to 1989,17510,1872,6.9,0.7
Wichita,Kansas,Moved in 1980 to 1989,10966,1309,7.3,0.9
Albuquerque,New Mexico,Moved in 1970 to 1979,8801,1211,3.9,0.5
Anaheim,California,Moved in 1970 to 1979,4749,1265,4.7,1.2
Anchorage,Alaska,Moved in 1970 to 1979,3988,934,3.8,0.9
Arlington,Texas,Moved in 1970 to 1979,5874,1073,4.4,0.8
Atlanta,Georgia,Moved in 1970 to 1979,8030,1354,4.7,0.8
Aurora,Colorado,Moved in 1970 to 1979,4551,905,3.8,0.7
Austin,Texas,Moved in 1970 to 1979,8264,1198,2.6,0.4
Bakersfield,California,Moved in 1970 to 1979,2390,702,2.2,0.6
Baltimore,Maryland,Moved in 1970 to 1979,12830,1546,5.4,0.6
Boston,Massachusetts,Moved in 1970 to 1979,9298,1501,3.7,0.6
Chicago,Illinois,Moved in 1970 to 1979,55235,3630,5.4,0.4
Cincinnati,Ohio,Moved in 1970 to 1979,5722,979,4.5,0.8
Cleveland,Ohio,Moved in 1970 to 1979,10916,1407,6.6,0.8
Colorado Springs,Colorado,Moved in 1970 to 1979,6660,1119,4,0.7
Columbus,Ohio,Moved in 1970 to 1979,10266,1114,3.2,0.4
Corpus Christi,Texas,Moved in 1970 to 1979,6274,972,5.7,0.9
Dallas,Texas,Moved in 1970 to 1979,17311,1846,3.9,0.4
Denver,Colorado,Moved in 1970 to 1979,9971,1352,3.8,0.5
Detroit,Michigan,Moved in 1970 to 1979,26851,2121,10.5,0.8
El Paso,Texas,Moved in 1970 to 1979,15090,1868,7.2,0.9
Fresno,California,Moved in 1970 to 1979,5982,1154,3.9,0.7
Greensboro,North Carolina,Moved in 1970 to 1979,5901,1139,5.4,1
Henderson,Nevada,Moved in 1970 to 1979,694,368,0.7,0.4
Houston,Texas,Moved in 1970 to 1979,37922,3153,5,0.4
Indianapolis,Indiana,Moved in 1970 to 1979,15514,1546,4.8,0.5
Irvine,California,Moved in 1970 to 1979,2577,624,3.4,0.8
Jacksonville,Florida,Moved in 1970 to 1979,14363,1619,4.7,0.5
Jersey City,New Jersey,Moved in 1970 to 1979,4024,926,4.3,1
Las Vegas,Nevada,Moved in 1970 to 1979,3335,887,1.6,0.4
Lincoln,Nebraska,Moved in 1970 to 1979,4422,962,4.2,0.9
Long Beach,California,Moved in 1970 to 1979,5959,1293,3.8,0.8
Los Angeles,California,Moved in 1970 to 1979,67592,3913,5.2,0.3
Memphis,Tennessee,Moved in 1970 to 1979,13129,1682,5.4,0.7
Mesa,Arizona,Moved in 1970 to 1979,3164,732,1.9,0.4
Miami,Florida,Moved in 1970 to 1979,7468,1263,5.1,0.8
Milwaukee,Wisconsin,Moved in 1970 to 1979,10407,1181,4.5,0.5
Minneapolis,Minnesota,Moved in 1970 to 1979,6642,1038,4,0.6
New Orleans,Louisiana,Moved in 1970 to 1979,8892,1449,6.3,1
New York,New York,Moved in 1970 to 1979,227334,6148,7.5,0.2
Newark,New Jersey,Moved in 1970 to 1979,3464,829,3.8,0.9
Oakland,California,Moved in 1970 to 1979,8226,1207,5.4,0.8
Omaha,Nebraska,Moved in 1970 to 1979,9657,1247,5.9,0.8
Orlando,Florida,Moved in 1970 to 1979,2164,539,2.2,0.5
Philadelphia,Pennsylvania,Moved in 1970 to 1979,38769,2641,6.7,0.5
Phoenix,Arizona,Moved in 1970 to 1979,19738,2443,3.9,0.5
Pittsburgh,Pennsylvania,Moved in 1970 to 1979,9476,1468,7.3,1.1
Plano,Texas,Moved in 1970 to 1979,2643,678,2.7,0.7
Portland,Oregon,Moved in 1970 to 1979,10411,1288,4.3,0.5
Riverside,California,Moved in 1970 to 1979,4626,950,5.3,1
Sacramento,California,Moved in 1970 to 1979,8190,1438,4.6,0.8
San Antonio,Texas,Moved in 1970 to 1979,24504,1876,5.2,0.4
San Diego,California,Moved in 1970 to 1979,23892,2376,5.1,0.5
San Francisco,California,Moved in 1970 to 1979,20425,2298,6.1,0.7
San Jose,California,Moved in 1970 to 1979,16254,1721,5.5,0.6
Santa Ana,California,Moved in 1970 to 1979,4021,1006,5.6,1.4
Seattle,Washington,Moved in 1970 to 1979,11341,1464,4.1,0.5
St. Paul,Minnesota,Moved in 1970 to 1979,4510,742,4.1,0.7
Stockton,California,Moved in 1970 to 1979,3308,804,3.6,0.9
Tampa,Florida,Moved in 1970 to 1979,4681,1103,3.5,0.8
Tucson,Arizona,Moved in 1970 to 1979,9358,1514,4.6,0.7
Tulsa,Oklahoma,Moved in 1970 to 1979,9314,1256,5.7,0.8
Virginia Beach,Virginia,Moved in 1970 to 1979,6388,1021,3.9,0.6
Washington,District of Columbia,Moved in 1970 to 1979,13196,1650,5.2,0.7
Wichita,Kansas,Moved in 1970 to 1979,6234,1003,4.2,0.7
Albuquerque,New Mexico,Moved in 1969 or earlier,7961,1176,3.6,0.5
Anaheim,California,Moved in 1969 or earlier,3060,717,3,0.7
Anchorage,Alaska,Moved in 1969 or earlier,1125,512,1.1,0.5
Arlington,Texas,Moved in 1969 or earlier,1932,543,1.4,0.4
Atlanta,Georgia,Moved in 1969 or earlier,7373,1280,4.3,0.7
Aurora,Colorado,Moved in 1969 or earlier,880,328,0.7,0.3
Austin,Texas,Moved in 1969 or earlier,6898,1057,2.1,0.3
Bakersfield,California,Moved in 1969 or earlier,1446,541,1.3,0.5
Baltimore,Maryland,Moved in 1969 or earlier,14574,1459,6.1,0.6
Boston,Massachusetts,Moved in 1969 or earlier,9391,1323,3.7,0.5
Chicago,Illinois,Moved in 1969 or earlier,43067,2746,4.2,0.3
Cincinnati,Ohio,Moved in 1969 or earlier,4919,880,3.9,0.7
Cleveland,Ohio,Moved in 1969 or earlier,13959,1455,8.5,0.9
Colorado Springs,Colorado,Moved in 1969 or earlier,4089,979,2.4,0.6
Columbus,Ohio,Moved in 1969 or earlier,10922,1290,3.4,0.4
Corpus Christi,Texas,Moved in 1969 or earlier,5851,823,5.3,0.7
Dallas,Texas,Moved in 1969 or earlier,15379,1496,3.4,0.3
Denver,Colorado,Moved in 1969 or earlier,8846,1061,3.4,0.4
Detroit,Michigan,Moved in 1969 or earlier,20095,1688,7.9,0.6
El Paso,Texas,Moved in 1969 or earlier,10553,1328,5,0.6
Fresno,California,Moved in 1969 or earlier,3874,828,2.5,0.5
Greensboro,North Carolina,Moved in 1969 or earlier,4659,952,4.3,0.9
Henderson,Nevada,Moved in 1969 or earlier,300,211,0.3,0.2
Houston,Texas,Moved in 1969 or earlier,30951,2113,4.1,0.3
Indianapolis,Indiana,Moved in 1969 or earlier,14483,1442,4.5,0.4
Irvine,California,Moved in 1969 or earlier,129,187,0.2,0.2
Jacksonville,Florida,Moved in 1969 or earlier,10795,1294,3.5,0.4
Jersey City,New Jersey,Moved in 1969 or earlier,1894,544,2,0.6
Las Vegas,Nevada,Moved in 1969 or earlier,1894,579,0.9,0.3
Lincoln,Nebraska,Moved in 1969 or earlier,3381,712,3.2,0.7
Long Beach,California,Moved in 1969 or earlier,5567,923,3.5,0.6
Los Angeles,California,Moved in 1969 or earlier,48868,3297,3.7,0.3
Memphis,Tennessee,Moved in 1969 or earlier,12203,1436,5.1,0.6
Mesa,Arizona,Moved in 1969 or earlier,972,422,0.6,0.3
Miami,Florida,Moved in 1969 or earlier,4519,887,3.1,0.6
Milwaukee,Wisconsin,Moved in 1969 or earlier,10144,1143,4.4,0.5
Minneapolis,Minnesota,Moved in 1969 or earlier,5247,994,3.2,0.6
New Orleans,Louisiana,Moved in 1969 or earlier,5980,969,4.2,0.7
New York,New York,Moved in 1969 or earlier,155210,5343,5.1,0.2
Newark,New Jersey,Moved in 1969 or earlier,2860,685,3.1,0.7
Oakland,California,Moved in 1969 or earlier,5861,875,3.9,0.6
Omaha,Nebraska,Moved in 1969 or earlier,7528,1297,4.6,0.8
Orlando,Florida,Moved in 1969 or earlier,2364,669,2.4,0.7
Philadelphia,Pennsylvania,Moved in 1969 or earlier,50781,2930,8.8,0.5
Phoenix,Arizona,Moved in 1969 or earlier,9876,1479,1.9,0.3
Pittsburgh,Pennsylvania,Moved in 1969 or earlier,10990,1247,8.5,0.9
Plano,Texas,Moved in 1969 or earlier,247,204,0.3,0.2
Portland,Oregon,Moved in 1969 or earlier,7981,974,3.3,0.4
Riverside,California,Moved in 1969 or earlier,2471,594,2.8,0.7
Sacramento,California,Moved in 1969 or earlier,7052,1059,4,0.6
San Antonio,Texas,Moved in 1969 or earlier,23731,2015,5,0.4
San Diego,California,Moved in 1969 or earlier,14365,1614,3.1,0.3
San Francisco,California,Moved in 1969 or earlier,14166,1448,4.2,0.4
San Jose,California,Moved in 1969 or earlier,13373,1539,4.5,0.5
Santa Ana,California,Moved in 1969 or earlier,2144,545,3,0.7
Seattle,Washington,Moved in 1969 or earlier,8205,1359,3,0.5
St. Paul,Minnesota,Moved in 1969 or earlier,4805,959,4.4,0.8
Stockton,California,Moved in 1969 or earlier,3248,780,3.6,0.8
Tampa,Florida,Moved in 1969 or earlier,5489,1041,4.1,0.8
Tucson,Arizona,Moved in 1969 or earlier,6743,1118,3.3,0.6
Tulsa,Oklahoma,Moved in 1969 or earlier,7185,978,4.4,0.6
Virginia Beach,Virginia,Moved in 1969 or earlier,4963,926,3,0.6
Washington,District of Columbia,Moved in 1969 or earlier,13901,1318,5.5,0.5
Wichita,Kansas,Moved in 1969 or earlier,5647,775,3.8,0.5
Albuquerque,New Mexico,Occupied housing units,223505,2539,223505,
Anaheim,California,Occupied housing units,100404,3112,100404,
Anchorage,Alaska,Occupied housing units,104993,2002,104993,
Arlington,Texas,Occupied housing units,133491,3094,133491,
Atlanta,Georgia,Occupied housing units,172159,5268,172159,
Aurora,Colorado,Occupied housing units,119559,3177,119559,
Austin,Texas,Occupied housing units,323282,4713,323282,
