Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('Built 1980 to 1989',)","Columbus city, Ohio","48,376","±2,823",year_structure_built,13.10%,±0.7
"('Built 1980 to 1989',)","Corpus Christi city, Texas","24,083","±2,588",year_structure_built,19.30%,±2.1
"('Built 1980 to 1989',)","Dallas city, Texas","92,963","±5,179",year_structure_built,18.10%,±1.0
"('Built 1980 to 1989',)","Denver city, Colorado","23,261","±2,059",year_structure_built,8.10%,±0.7
"('Built 1980 to 1989',)","Detroit city, Michigan","10,062","±1,802",year_structure_built,2.80%,±0.5
"('Built 1980 to 1989',)","El Paso city, Texas","36,990","±2,799",year_structure_built,16.00%,±1.2
"('Built 1980 to 1989',)","Fresno city, California","26,655","±2,543",year_structure_built,15.70%,±1.4
"('Built 1980 to 1989',)","Greensboro city, North Carolina","21,627","±2,292",year_structure_built,17.20%,±1.7
"('Built 1980 to 1989',)","Henderson city, Nevada","20,980","±2,286",year_structure_built,18.40%,±1.9
"('Built 1980 to 1989',)","Houston city, Texas","125,368","±5,082",year_structure_built,13.90%,±0.6
"('Built 1980 to 1989',)","Indianapolis city (balance), Indiana","42,196","±3,171",year_structure_built,11.10%,±0.8
"('Built 1980 to 1989',)","Irvine city, California","15,597","±1,968",year_structure_built,19.10%,±2.4
"('Built 1980 to 1989',)","Jacksonville city, Florida","59,318","±4,286",year_structure_built,16.10%,±1.2
"('Built 1980 to 1989',)","Jersey City city, New Jersey","4,633",±954,year_structure_built,4.20%,±0.9
"('Built 1980 to 1989',)","Las Vegas city, Nevada","49,928","±3,504",year_structure_built,19.70%,±1.4
"('Built 1980 to 1989',)","Lincoln city, Nebraska","11,091","±1,690",year_structure_built,10.00%,±1.5
"('Built 1980 to 1989',)","Long Beach city, California","14,948","±1,663",year_structure_built,8.60%,±1.0
"('Built 1980 to 1989',)","Los Angeles city, California","143,860","±6,389",year_structure_built,10.10%,±0.4
"('Built 1980 to 1989',)","Memphis city, Tennessee","39,779","±3,020",year_structure_built,13.50%,±1.0
"('Built 1980 to 1989',)","Mesa city, Arizona","52,532","±3,292",year_structure_built,26.70%,±1.6
"('Built 1980 to 1989',)","Miami city, Florida","13,204","±2,102",year_structure_built,7.00%,±1.1
"('Built 1980 to 1989',)","Milwaukee city, Wisconsin","12,008","±1,921",year_structure_built,4.60%,±0.7
"('Built 1980 to 1989',)","Minneapolis city, Minnesota","12,255","±1,803",year_structure_built,6.60%,±0.9
"('Built 1980 to 1989',)","New Orleans city, Louisiana","12,371","±1,660",year_structure_built,6.50%,±0.9
"('Built 1980 to 1989',)","New York city, New York","144,315","±6,076",year_structure_built,4.30%,±0.2
"('Built 1980 to 1989',)","Newark city, New Jersey","6,544","±1,249",year_structure_built,6.00%,±1.1
"('Built 1980 to 1989',)","Oakland city, California","8,497","±1,476",year_structure_built,4.90%,±0.8
"('Built 1980 to 1989',)","Omaha city, Nebraska","18,423","±1,809",year_structure_built,10.30%,±1.0
"('Built 1980 to 1989',)","Orlando city, Florida","21,808","±2,653",year_structure_built,18.20%,±2.2
"('Built 1980 to 1989',)","Philadelphia city, Pennsylvania","23,418","±2,581",year_structure_built,3.50%,±0.4
"('Built 1980 to 1989',)","Phoenix city, Arizona","113,981","±4,687",year_structure_built,19.00%,±0.7
"('Built 1980 to 1989',)","Pittsburgh city, Pennsylvania","6,703","±1,230",year_structure_built,4.40%,±0.8
"('Built 1980 to 1989',)","Plano city, Texas","31,011","±2,906",year_structure_built,29.40%,±2.6
"('Built 1980 to 1989',)","Portland city, Oregon","15,212","±1,743",year_structure_built,5.80%,±0.7
"('Built 1980 to 1989',)","Riverside city, California","15,496","±2,217",year_structure_built,15.90%,±1.9
"('Built 1980 to 1989',)","Sacramento city, California","26,958","±2,488",year_structure_built,14.00%,±1.2
"('Built 1980 to 1989',)","San Antonio city, Texas","92,006","±4,249",year_structure_built,17.50%,±0.8
"('Built 1980 to 1989',)","San Diego city, California","90,527","±4,414",year_structure_built,17.60%,±0.8
"('Built 1980 to 1989',)","San Francisco city, California","18,620","±2,007",year_structure_built,4.90%,±0.5
"('Built 1980 to 1989',)","San Jose city, California","43,160","±3,180",year_structure_built,13.80%,±1.0
"('Built 1980 to 1989',)","Santa Ana city, California","8,711","±1,267",year_structure_built,11.60%,±1.7
"('Built 1980 to 1989',)","Seattle city, Washington","25,023","±2,673",year_structure_built,8.30%,±0.8
"('Built 1980 to 1989',)","St. Paul city, Minnesota","8,762","±1,397",year_structure_built,7.30%,±1.1
"('Built 1980 to 1989',)","Stockton city, California","14,695","±1,698",year_structure_built,14.60%,±1.7
"('Built 1980 to 1989',)","Tampa city, Florida","19,461","±2,402",year_structure_built,12.20%,±1.5
"('Built 1980 to 1989',)","Tucson city, Arizona","36,092","±2,781",year_structure_built,15.70%,±1.2
"('Built 1980 to 1989',)","Tulsa city, Oklahoma","25,375","±2,231",year_structure_built,13.50%,±1.2
"('Built 1980 to 1989',)","Virginia Beach city, Virginia","52,717","±2,774",year_structure_built,29.60%,±1.6
"('Built 1980 to 1989',)","Washington city, District of Columbia","11,183","±1,437",year_structure_built,3.80%,±0.5
"('Built 1980 to 1989',)","Wichita city, Kansas","20,816","±2,003",year_structure_built,12.30%,±1.2
"('Built 1970 to 1979',)","Albuquerque city, New Mexico","45,525","±3,068",year_structure_built,19.00%,±1.3
"('Built 1970 to 1979',)","Anaheim city, California","26,905","±2,362",year_structure_built,25.10%,±2.1
"('Built 1970 to 1979',)","Anchorage municipality, Alaska","33,246","±2,520",year_structure_built,29.40%,±2.2
"('Built 1970 to 1979',)","Arlington city, Texas","33,920","±2,709",year_structure_built,23.10%,±1.7
"('Built 1970 to 1979',)","Atlanta city, Georgia","25,924","±2,630",year_structure_built,11.50%,±1.1
"('Built 1970 to 1979',)","Aurora city, Colorado","36,683","±2,407",year_structure_built,28.60%,±1.7
"('Built 1970 to 1979',)","Austin city, Texas","70,231","±3,638",year_structure_built,19.80%,±1.0
"('Built 1970 to 1979',)","Bakersfield city, California","19,652","±2,113",year_structure_built,16.60%,±1.6
"('Built 1970 to 1979',)","Baltimore city, Maryland","18,630","±1,999",year_structure_built,6.30%,±0.7
"('Built 1970 to 1979',)","Boston city, Massachusetts","16,967","±2,277",year_structure_built,6.10%,±0.8
"('Built 1970 to 1979',)","Chicago city, Illinois","79,196","±4,289",year_structure_built,6.70%,±0.4
"('Built 1970 to 1979',)","Cincinnati city, Ohio","12,501","±1,835",year_structure_built,7.80%,±1.1
"('Built 1970 to 1979',)","Cleveland city, Ohio","11,233","±1,593",year_structure_built,5.20%,±0.7
"('Built 1970 to 1979',)","Colorado Springs city, Colorado","34,879","±2,420",year_structure_built,19.30%,±1.3
"('Built 1970 to 1979',)","Columbus city, Ohio","52,348","±3,328",year_structure_built,14.10%,±0.9
"('Built 1970 to 1979',)","Corpus Christi city, Texas","24,027","±2,367",year_structure_built,19.30%,±1.9
"('Built 1970 to 1979',)","Dallas city, Texas","93,145","±4,335",year_structure_built,18.10%,±0.8
"('Built 1970 to 1979',)","Denver city, Colorado","44,120","±2,991",year_structure_built,15.40%,±1.0
"('Built 1970 to 1979',)","Detroit city, Michigan","13,945","±1,638",year_structure_built,3.90%,±0.5
"('Built 1970 to 1979',)","El Paso city, Texas","41,778","±3,167",year_structure_built,18.10%,±1.3
"('Built 1970 to 1979',)","Fresno city, California","34,550","±2,525",year_structure_built,20.40%,±1.4
"('Built 1970 to 1979',)","Greensboro city, North Carolina","20,985","±2,122",year_structure_built,16.70%,±1.7
"('Built 1970 to 1979',)","Henderson city, Nevada","5,224","±1,201",year_structure_built,4.60%,±1.1
"('Built 1970 to 1979',)","Houston city, Texas","231,169","±6,791",year_structure_built,25.60%,±0.7
"('Built 1970 to 1979',)","Indianapolis city (balance), Indiana","51,926","±4,002",year_structure_built,13.60%,±1.1
"('Built 1970 to 1979',)","Irvine city, California","19,715","±1,635",year_structure_built,24.20%,±1.9
"('Built 1970 to 1979',)","Jacksonville city, Florida","45,204","±3,437",year_structure_built,12.30%,±0.9
"('Built 1970 to 1979',)","Jersey City city, New Jersey","5,738","±1,153",year_structure_built,5.20%,±1.0
"('Built 1970 to 1979',)","Las Vegas city, Nevada","29,054","±2,873",year_structure_built,11.40%,±1.1
"('Built 1970 to 1979',)","Lincoln city, Nebraska","16,618","±1,826",year_structure_built,15.00%,±1.7
"('Built 1970 to 1979',)","Long Beach city, California","21,248","±2,265",year_structure_built,12.20%,±1.3
"('Built 1970 to 1979',)","Los Angeles city, California","194,472","±6,661",year_structure_built,13.70%,±0.5
"('Built 1970 to 1979',)","Memphis city, Tennessee","58,718","±3,280",year_structure_built,20.00%,±1.1
"('Built 1970 to 1979',)","Mesa city, Arizona","45,866","±3,292",year_structure_built,23.30%,±1.5
"('Built 1970 to 1979',)","Miami city, Florida","24,477","±2,314",year_structure_built,13.00%,±1.2
"('Built 1970 to 1979',)","Milwaukee city, Wisconsin","22,351","±2,294",year_structure_built,8.60%,±0.9
"('Built 1970 to 1979',)","Minneapolis city, Minnesota","16,126","±1,632",year_structure_built,8.70%,±0.9
"('Built 1970 to 1979',)","New Orleans city, Louisiana","30,809","±2,574",year_structure_built,16.20%,±1.3
"('Built 1970 to 1979',)","New York city, New York","240,460","±8,391",year_structure_built,7.10%,±0.2
"('Built 1970 to 1979',)","Newark city, New Jersey","10,581","±1,604",year_structure_built,9.70%,±1.4
"('Built 1970 to 1979',)","Oakland city, California","16,671","±1,894",year_structure_built,9.60%,±1.1
"('Built 1970 to 1979',)","Omaha city, Nebraska","34,746","±1,954",year_structure_built,19.50%,±1.1
"('Built 1970 to 1979',)","Orlando city, Florida","15,518","±2,054",year_structure_built,13.00%,±1.6
"('Built 1970 to 1979',)","Philadelphia city, Pennsylvania","41,987","±3,327",year_structure_built,6.30%,±0.5
"('Built 1970 to 1979',)","Phoenix city, Arizona","117,154","±5,167",year_structure_built,19.50%,±0.8
"('Built 1970 to 1979',)","Pittsburgh city, Pennsylvania","9,631","±1,641",year_structure_built,6.30%,±1.1
"('Built 1970 to 1979',)","Plano city, Texas","16,023","±1,677",year_structure_built,15.20%,±1.6
"('Built 1970 to 1979',)","Portland city, Oregon","30,659","±2,701",year_structure_built,11.60%,±1.0
"('Built 1970 to 1979',)","Riverside city, California","17,169","±2,060",year_structure_built,17.60%,±2.0
"('Built 1970 to 1979',)","Sacramento city, California","31,951","±2,729",year_structure_built,16.60%,±1.4
"('Built 1970 to 1979',)","San Antonio city, Texas","92,043","±4,493",year_structure_built,17.50%,±0.8
"('Built 1970 to 1979',)","San Diego city, California","116,116","±5,054",year_structure_built,22.60%,±1.0
"('Built 1970 to 1979',)","San Francisco city, California","26,355","±2,488",year_structure_built,7.00%,±0.7
"('Built 1970 to 1979',)","San Jose city, California","73,313","±3,420",year_structure_built,23.50%,±1.0
"('Built 1970 to 1979',)","Santa Ana city, California","18,396","±2,065",year_structure_built,24.50%,±2.5
"('Built 1970 to 1979',)","Seattle city, Washington","29,901","±3,083",year_structure_built,9.90%,±1.0
"('Built 1970 to 1979',)","St. Paul city, Minnesota","9,450","±1,530",year_structure_built,7.90%,±1.2
"('Built 1970 to 1979',)","Stockton city, California","20,300","±1,911",year_structure_built,20.10%,±1.8
"('Built 1970 to 1979',)","Tampa city, Florida","27,942","±2,655",year_structure_built,17.60%,±1.6
"('Built 1970 to 1979',)","Tucson city, Arizona","56,260","±3,735",year_structure_built,24.50%,±1.5
"('Built 1970 to 1979',)","Tulsa city, Oklahoma","40,774","±2,595",year_structure_built,21.80%,±1.4
"('Built 1970 to 1979',)","Virginia Beach city, Virginia","42,257","±3,215",year_structure_built,23.70%,±1.8
"('Built 1970 to 1979',)","Washington city, District of Columbia","19,323","±2,296",year_structure_built,6.50%,±0.8
"('Built 1970 to 1979',)","Wichita city, Kansas","20,023","±2,171",year_structure_built,11.80%,±1.3
"('Built 1960 to 1969',)","Albuquerque city, New Mexico","26,128","±2,071",year_structure_built,10.90%,±0.9
"('Built 1960 to 1969',)","Anaheim city, California","21,416","±2,373",year_structure_built,19.90%,±2.1
"('Built 1960 to 1969',)","Anchorage municipality, Alaska","12,477","±1,969",year_structure_built,11.00%,±1.7
"('Built 1960 to 1969',)","Arlington city, Texas","11,957","±1,761",year_structure_built,8.20%,±1.2
"('Built 1960 to 1969',)","Atlanta city, Georgia","31,392","±2,903",year_structure_built,13.90%,±1.3
"('Built 1960 to 1969',)","Aurora city, Colorado","12,793","±1,671",year_structure_built,10.00%,±1.3
"('Built 1960 to 1969',)","Austin city, Texas","28,166","±2,349",year_structure_built,7.90%,±0.7
"('Built 1960 to 1969',)","Bakersfield city, California","10,090","±1,387",year_structure_built,8.50%,±1.2
"('Built 1960 to 1969',)","Baltimore city, Maryland","25,430","±2,867",year_structure_built,8.60%,±1.0
"('Built 1960 to 1969',)","Boston city, Massachusetts","20,428","±1,952",year_structure_built,7.30%,±0.7
"('Built 1960 to 1969',)","Chicago city, Illinois","109,436","±4,664",year_structure_built,9.20%,±0.4
"('Built 1960 to 1969',)","Cincinnati city, Ohio","21,691","±1,768",year_structure_built,13.50%,±1.1
"('Built 1960 to 1969',)","Cleveland city, Ohio","14,885","±1,793",year_structure_built,6.90%,±0.8
"('Built 1960 to 1969',)","Colorado Springs city, Colorado","21,185","±1,936",year_structure_built,11.70%,±1.0
"('Built 1960 to 1969',)","Columbus city, Ohio","46,292","±3,466",year_structure_built,12.50%,±0.9
"('Built 1960 to 1969',)","Corpus Christi city, Texas","14,590","±1,902",year_structure_built,11.70%,±1.5
"('Built 1960 to 1969',)","Dallas city, Texas","78,289","±3,765",year_structure_built,15.20%,±0.7
"('Built 1960 to 1969',)","Denver city, Colorado","35,852","±2,803",year_structure_built,12.50%,±1.0
"('Built 1960 to 1969',)","Detroit city, Michigan","28,952","±2,293",year_structure_built,8.00%,±0.6
"('Built 1960 to 1969',)","El Paso city, Texas","30,514","±2,614",year_structure_built,13.20%,±1.1
"('Built 1960 to 1969',)","Fresno city, California","19,324","±2,244",year_structure_built,11.40%,±1.3
"('Built 1960 to 1969',)","Greensboro city, North Carolina","14,963","±2,265",year_structure_built,11.90%,±1.7
"('Built 1960 to 1969',)","Henderson city, Nevada",814,±345,year_structure_built,0.70%,±0.3
"('Built 1960 to 1969',)","Houston city, Texas","144,059","±5,667",year_structure_built,16.00%,±0.6
"('Built 1960 to 1969',)","Indianapolis city (balance), Indiana","61,416","±3,820",year_structure_built,16.10%,±1.0
"('Built 1960 to 1969',)","Irvine city, California","3,203",±767,year_structure_built,3.90%,±0.9
"('Built 1960 to 1969',)","Jacksonville city, Florida","41,550","±3,433",year_structure_built,11.30%,±1.0
"('Built 1960 to 1969',)","Jersey City city, New Jersey","9,087","±1,619",year_structure_built,8.30%,±1.5
"('Built 1960 to 1969',)","Las Vegas city, Nevada","17,321","±2,048",year_structure_built,6.80%,±0.8
"('Built 1960 to 1969',)","Lincoln city, Nebraska","15,150","±1,752",year_structure_built,13.70%,±1.6
"('Built 1960 to 1969',)","Long Beach city, California","25,978","±2,945",year_structure_built,14.90%,±1.5
"('Built 1960 to 1969',)","Los Angeles city, California","210,165","±7,236",year_structure_built,14.80%,±0.5
"('Built 1960 to 1969',)","Memphis city, Tennessee","45,452","±3,246",year_structure_built,15.50%,±1.1
"('Built 1960 to 1969',)","Mesa city, Arizona","14,747","±1,772",year_structure_built,7.50%,±0.9
"('Built 1960 to 1969',)","Miami city, Florida","19,708","±2,204",year_structure_built,10.50%,±1.1
